id,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
0,2,0,0,2,1,0,0,9,2018,1,14,1,1,11,0,67.5,0,0
1,2,0,1,2,0,0,0,117,2018,7,29,0,0,0,0,72.25,0,0
2,2,0,0,1,0,0,0,315,2018,12,2,0,0,0,0,52.0,0,0
3,1,0,0,2,1,0,0,32,2018,12,1,1,0,0,0,56.0,0,0
4,2,0,1,0,0,0,0,258,2018,10,16,0,0,0,0,100.0,0,1
5,0,2,2,5,0,0,2,215,2018,10,6,1,0,0,0,212.06,0,1
6,2,0,0,1,2,0,0,320,2018,8,18,0,0,0,0,115.0,1,1
7,2,0,0,2,2,0,0,265,2018,6,24,0,0,0,0,87.0,0,0
8,2,0,2,3,0,0,0,189,2018,10,8,0,0,0,0,72.75,0,0
9,3,0,0,3,0,0,0,137,2018,12,22,1,0,0,0,117.3,2,0
10,2,0,0,1,0,0,0,1,2018,9,27,0,1,0,0,95.0,0,0
11,2,2,0,1,0,0,3,69,2018,8,12,1,0,0,0,221.3,1,1
12,2,1,1,1,0,0,0,50,2018,4,30,1,0,0,0,121.5,1,1
13,2,0,2,3,1,0,0,217,2018,8,22,1,0,0,0,63.75,0,1
14,1,0,0,2,0,0,0,58,2017,10,30,1,0,0,0,85.5,1,0
15,2,0,1,2,0,0,0,143,2018,4,22,1,0,0,0,77.03,1,0
16,2,0,1,3,0,0,0,188,2018,6,2,0,0,0,0,80.75,0,0
17,2,0,0,2,0,0,0,155,2018,7,26,1,0,0,0,121.5,1,1
18,2,0,1,3,0,0,0,109,2018,8,3,1,0,0,0,72.25,0,0
19,1,0,0,2,0,0,0,84,2018,11,25,1,0,0,0,93.6,1,0
20,3,0,0,1,0,0,1,1,2018,6,28,1,0,0,0,182.0,2,0
21,1,0,0,3,0,0,4,7,2018,7,21,2,0,0,0,143.0,0,0
22,2,2,1,1,0,0,3,0,2018,8,30,1,0,0,0,156.0,0,0
23,1,0,0,4,0,0,0,1,2018,11,16,1,0,0,0,74.8,0,1
24,2,0,0,1,0,0,0,184,2018,7,4,1,0,0,0,105.3,1,1
25,2,0,1,2,0,0,0,11,2017,12,11,0,0,0,0,58.0,1,0
26,2,0,1,2,0,0,0,224,2018,10,2,1,0,0,0,65.0,0,1
27,2,0,0,2,0,0,0,182,2018,8,12,1,0,0,0,117.9,2,1
28,2,0,2,2,0,0,1,179,2018,9,24,1,0,0,0,135.9,0,1
29,2,0,2,3,0,0,0,111,2018,10,2,1,0,0,0,90.1,0,1
30,2,0,1,4,0,0,1,49,2018,5,2,1,0,0,0,131.4,0,1
31,2,0,0,1,0,0,1,61,2018,9,2,1,0,0,0,87.3,0,1
32,2,0,0,2,1,0,0,317,2018,9,15,1,0,0,0,120.0,0,1
33,2,0,0,3,0,0,2,66,2018,10,20,1,0,0,0,108.0,2,0
34,2,0,0,3,0,0,0,41,2018,10,27,0,0,0,0,85.0,0,0
35,2,0,2,5,0,0,0,139,2018,8,11,1,0,0,0,107.87,1,0
36,3,0,2,3,0,0,0,69,2018,12,12,0,0,0,0,92.65,0,0
37,2,0,0,2,0,0,0,207,2018,8,5,1,0,0,0,105.3,1,1
38,2,1,2,2,0,0,0,66,2018,9,3,1,0,0,0,162.79,2,0
39,2,0,3,7,0,0,1,161,2018,12,10,1,0,0,0,97.75,1,0
40,2,0,2,3,0,0,0,25,2018,6,26,1,0,0,0,172.0,0,1
41,2,0,1,3,0,0,0,147,2018,5,28,1,0,0,0,106.25,1,0
42,3,0,1,3,0,0,1,110,2018,7,7,1,0,0,0,138.55,2,0
43,2,0,0,4,1,0,0,208,2018,7,30,1,0,0,0,80.75,0,1
44,2,0,0,4,0,0,1,148,2018,10,25,1,0,0,0,104.4,1,0
45,2,0,1,3,0,0,0,223,2018,10,3,1,0,0,0,102.85,1,1
46,2,0,1,2,0,0,0,47,2018,4,4,0,0,0,0,85.0,0,0
47,2,0,1,3,0,0,0,275,2018,5,5,0,0,0,0,90.0,0,1
48,2,0,1,1,0,0,0,40,2017,9,19,0,0,0,0,72.76,0,0
49,2,0,0,1,0,0,0,129,2018,9,11,1,0,0,0,135.9,2,1
50,2,0,2,2,0,0,0,61,2017,10,4,0,0,0,0,91.0,0,0
51,2,0,0,3,0,0,0,110,2018,12,9,1,0,0,0,122.4,0,1
52,2,0,2,2,0,0,1,34,2018,9,25,1,0,0,0,147.6,0,1
53,3,0,1,4,0,0,1,94,2018,7,25,1,0,0,0,137.7,0,1
54,2,0,0,1,0,0,0,221,2018,8,12,0,0,0,0,100.0,0,0
